gene,mean_expr_human_Art_EC,mean_expr_human_Cap_EC,mean_expr_human_EC,mean_expr_human_Pericyte,mean_expr_human_SMC,mean_expr_human_Ven_EC,mean_expr_macaque_Art_EC,mean_expr_macaque_Fibroblast,mean_expr_macaque_Pericyte,mean_expr_macaque_SMC,mean_expr_macaque_Ven_EC,mean_expr_marmoset_Art_EC,mean_expr_marmoset_Cap_EC,mean_expr_marmoset_Fibroblast,mean_expr_marmoset_Pericyte,mean_expr_marmoset_SMC,mean_expr_marmoset_Ven_EC,mean_expr_mouse_Art_EC,mean_expr_mouse_Cap_EC,mean_expr_mouse_Pericyte,mean_expr_mouse_SMC,mean_expr_mouse_Ven_EC,mean_expr_pig_Cap_EC,mean_expr_pig_Fibroblast,mean_expr_pig_Pericyte,mean_expr_rat_Cap_EC,mean_expr_rat_Pericyte,pct_expr_human_Art_EC,pct_expr_human_Cap_EC,pct_expr_human_EC,pct_expr_human_Pericyte,pct_expr_human_SMC,pct_expr_human_Ven_EC,pct_expr_macaque_Art_EC,pct_expr_macaque_Fibroblast,pct_expr_macaque_Pericyte,pct_expr_macaque_SMC,pct_expr_macaque_Ven_EC,pct_expr_marmoset_Art_EC,pct_expr_marmoset_Cap_EC,pct_expr_marmoset_Fibroblast,pct_expr_marmoset_Pericyte,pct_expr_marmoset_SMC,pct_expr_marmoset_Ven_EC,pct_expr_mouse_Art_EC,pct_expr_mouse_Cap_EC,pct_expr_mouse_Pericyte,pct_expr_mouse_SMC,pct_expr_mouse_Ven_EC,pct_expr_pig_Cap_EC,pct_expr_pig_Fibroblast,pct_expr_pig_Pericyte,pct_expr_rat_Cap_EC,pct_expr_rat_Pericyte
SGIP1,0.2172713577747345,0.0778126418590545,0.2634812593460083,2.943300247192383,2.073381185531616,0.05671401694417,0.0999431312084198,0.2352402657270431,1.459570050239563,0.5471891164779663,0.6150638461112976,0.578724205493927,0.5086592435836792,0.5346226096153259,1.362855315208435,0.9803684949874878,0.9246724843978882,0.3595310151576996,0.1807034760713577,1.962670087814331,1.5332427024841309,0.3382036387920379,0.1650854349136352,0.2893311977386474,0.7005640864372253,0.0,0.073061928153038,0.0869565233588218,0.0317124724388122,0.129592090845108,0.9268909692764282,0.6635302901268005,0.0308261401951313,0.0255402754992246,0.0627841800451278,0.3253487050533294,0.1718320846557617,0.1920892596244812,0.2265513986349105,0.254361629486084,0.2404021918773651,0.5932732224464417,0.5131375789642334,0.3737213313579559,0.1571675240993499,0.0983801558613777,0.6978121995925903,0.6911764740943909,0.1536286473274231,0.0808678492903709,0.1666666716337204,0.294545441865921,0.0,0.0464285723865032
SGK1,0.0661479234695434,0.0407319031655788,0.285996526479721,0.1709596812725067,0.1868559420108795,0.0285499654710292,0.0386144593358039,0.1923503428697586,0.0334664955735206,0.1896211504936218,0.1409550458192825,0.2707145810127258,0.169210597872734,0.5195649862289429,0.1274120807647705,0.1699593067169189,0.306107759475708,0.4069669544696808,0.6615060567855835,0.122771717607975,0.150848850607872,0.322353184223175,1.033197283744812,0.4435059130191803,0.6041288375854492,1.6166341304779053,0.7856321930885315,0.0306905377656221,0.0190274845808744,0.1517608314752578,0.1010334193706512,0.1008656397461891,0.017262639477849,0.0104780616238713,0.0541887246072292,0.0080351727083325,0.0659082010388374,0.0522482804954052,0.1120322123169899,0.0904623195528984,0.2175502777099609,0.0669209435582161,0.1066460609436035,0.1386243402957916,0.2037996500730514,0.3427290320396423,0.0768003612756729,0.073529414832592,0.1696512699127197,0.4615384638309479,0.25,0.2709091007709503,0.6267978549003601,0.3499999940395355
SGK3,0.398662805557251,0.4697555601596832,0.2691673040390014,0.2268831133842468,0.1677425801753997,0.6019462943077087,0.2030459642410278,0.1059583574533462,0.0385693460702896,0.1579915732145309,0.1309702396392822,0.0315074659883976,0.0495240502059459,0.6146000027656555,0.3217286467552185,0.4354172945022583,0.0113565986976027,0.2641904950141907,0.3312974274158478,0.0939162746071815,0.0706958174705505,0.2909442782402038,0.1564147919416427,0.1029777750372886,0.17715685069561,0.0888862088322639,0.0545442104339599,0.1783887445926666,0.1913319230079651,0.1414998769760131,0.1259894520044326,0.0858110636472702,0.298397034406662,0.061558611690998,0.0304578021168708,0.0089448150247335,0.057669673115015,0.0457005426287651,0.0127901472151279,0.0221504550427198,0.2746800780296325,0.1716366112232208,0.2921174764633178,0.0056437388993799,0.1519861817359924,0.1879747360944748,0.0540109388530254,0.073529414832592,0.1442035883665084,0.0848126262426376,0.0833333358168602,0.0836363658308982,0.0628311857581138,0.050000000745058
SGMS1,1.284523606300354,1.2725622653961182,2.272624492645264,1.087778925895691,0.8872333765029907,1.8323372602462769,0.6078452467918396,0.4186328649520874,0.4601232707500458,0.7965975999832153,1.2073330879211426,1.1158902645111084,2.049771547317505,0.2413399219512939,0.6323431730270386,0.4299113154411316,1.0936423540115356,2.4868180751800537,3.392841100692749,0.8507522344589233,0.6327828764915466,2.7672736644744877,1.5595780611038208,0.1155420169234275,0.8647322654724121,1.2650091648101809,0.3489701449871063,0.4776214957237243,0.4334038197994232,0.8025082349777222,0.517480194568634,0.3831388652324676,0.6831072568893433,0.1617550700902938,0.1141077578067779,0.1068829596042633,0.2544134855270386,0.3250484466552734,0.4403126537799835,0.778355062007904,0.1183729469776153,0.3231622874736786,0.2905718684196472,0.4670194089412689,0.6994818449020386,0.9442664980888368,0.3612124025821686,0.294117659330368,0.7587181925773621,0.6449704170227051,0.0833333358168602,0.3763636350631714,0.5745646953582764,0.2071428596973419
SGMS2,0.1627199649810791,0.1194902956485748,0.0623468086123466,0.0695703625679016,0.1080713346600532,0.1746577769517898,0.1346408128738403,0.0753522291779518,0.1080756336450576,0.1376930475234985,0.3737593293190002,0.0704911053180694,0.266447901725769,0.0271771326661109,0.01591207832098,0.0037631855811923,0.0609503760933876,0.6328500509262085,0.726957380771637,0.1071155443787574,0.0302916001528501,0.5397567749023438,0.3159825205802917,0.0,0.2413697987794876,0.289204478263855,0.0609181895852088,0.0696930959820747,0.0459830872714519,0.0336964800953865,0.0412269122898578,0.0598419271409511,0.0961775556206703,0.0392927303910255,0.0214886330068111,0.0253183748573064,0.0490388385951519,0.1049642562866211,0.0306726675480604,0.1379225552082061,0.0137111516669392,0.0097087379544973,0.0046367850154638,0.0308641977608203,0.2884283363819122,0.3775052726268768,0.0599361881613731,0.0147058824077248,0.2563619315624237,0.1656804680824279,0.0,0.1199999973177909,0.1824375540018081,0.0678571462631225
SGPL1,0.1189651489257812,0.120179034769535,0.315520316362381,0.6096265912055969,0.2132056355476379,0.1557744443416595,0.0370273776352405,0.0270114447921514,0.0242423117160797,0.0484824329614639,0.0554324015974998,0.2245651930570602,0.1873876601457595,0.2663367092609405,0.2245922684669494,0.2259402126073837,0.291491836309433,0.108233205974102,0.0842968598008155,0.0984831526875495,0.010929056443274,0.0983835607767105,0.3952060043811798,0.4015397131443023,0.3658156394958496,0.2194948941469192,0.1411702036857605,0.0581841431558132,0.0560253709554672,0.1750696748495102,0.3303650021553039,0.1170493066310882,0.0949445143342018,0.0104780616238713,0.0077857365831732,0.0057610673829913,0.0180462934076786,0.018440568819642,0.0973472297191619,0.1021167561411857,0.1293418705463409,0.1158113703131675,0.1669242680072784,0.1405643671751022,0.070811741054058,0.0539946928620338,0.0542388334870338,0.0147058824077248,0.0622054673731327,0.1952662765979766,0.25,0.1709090918302536,0.1408024281263351,0.1035714298486709
SGPP1,0.1578827798366546,0.1644033640623092,0.1600564569234848,0.2666163146495819,0.1606488972902298,0.2994810938835144,0.0460514388978481,0.054027896374464,0.0375071614980697,0.0839098170399665,0.0570971071720123,0.2403820157051086,0.1906430572271347,0.2671407163143158,0.1735491603612899,0.2752545177936554,0.2337270379066467,0.1023595705628395,0.0990965589880943,0.207905501127243,0.2528770267963409,0.0944233238697052,0.3013269007205963,0.2432629615068435,0.327410340309143,0.0636440366506576,0.2346197664737701,0.0741688013076782,0.0692389011383056,0.0907651409506797,0.1483069509267807,0.0790365040302276,0.1578298360109329,0.0137524558231234,0.0158206168562173,0.0087932078167796,0.0298156142234802,0.0207790471613407,0.1027948856353759,0.1001509428024292,0.1279707551002502,0.0898058265447616,0.1931993812322616,0.1142857149243354,0.0639032796025276,0.0646106004714965,0.1116681843996048,0.147058829665184,0.0603204518556594,0.1558185368776321,0.1666666716337204,0.1636363565921783,0.0484481453895568,0.1607142835855484
SGPP2,0.8522592782974243,1.122278094291687,1.3051952123641968,0.1645081788301468,0.0830147266387939,1.1522958278656006,0.3119957447052002,0.0634540319442749,0.1026314795017242,0.2148817032575607,0.4793597161769867,0.1984212547540664,0.9742125868797302,0.0432432703673839,0.5963622331619263,0.702799379825592,0.1109865829348564,0.744459331035614,0.9340727925300598,0.063731625676155,0.0219939276576042,0.7598496079444885,0.4884499311447143,0.0,0.1814439743757248,0.5967116355895996,0.1066730171442031,0.3299232721328735,0.3863636255264282,0.560045599937439,0.0802550539374351,0.0477982684969902,0.4821208417415619,0.0910281613469123,0.0171909071505069,0.0239539109170436,0.0747351869940757,0.1367007344961166,0.0776882991194725,0.4373925030231476,0.0233089588582515,0.3023578226566314,0.4034003019332886,0.0493827164173126,0.3281520009040832,0.4497117102146148,0.0369188711047172,0.0294117648154497,0.3261074423789978,0.2544378638267517,0.0,0.1018181815743446,0.348978042602539,0.0928571447730064
SGSM1,0.191577136516571,0.0407716482877731,0.0969131514430046,0.2235549092292785,0.3029217422008514,0.0190252680331468,0.1058667376637458,0.0811315327882766,0.0276797618716955,0.080912284553051,0.1195991113781929,0.0217646099627017,0.0170099008828401,0.0748808681964874,0.0518603846430778,0.057583101093769,0.0186683218926191,0.0479264631867408,0.0281144063919782,0.0347337424755096,0.0600966289639472,0.0641588866710662,0.134301945567131,0.2029231190681457,0.7464092969894409,0.006103619467467,0.0086196195334196,0.0856777504086494,0.0179704017937183,0.0549151264131069,0.1260993778705597,0.1467820852994918,0.012330456636846,0.0327439419925212,0.0227966364473104,0.0068223164416849,0.0296194590628147,0.0443642698228359,0.0098294643685221,0.0091269705444574,0.0361060313880443,0.0249653253704309,0.0401854701340198,0.0104056438431143,0.0224525034427642,0.0161068905144929,0.0186873283237218,0.0294117648154497,0.0320452414453029,0.0631163716316223,0.0833333358168602,0.2981818318367004,0.0052990159019827,0.010714286006987
SGSM2,0.1051435768604278,0.0898390486836433,0.1668292433023452,0.1687613874673843,0.1579886972904205,0.136844053864479,0.0197548605501651,0.0261957086622715,0.0181409977376461,0.0404934547841548,0.0296231005340814,0.2143942713737487,0.1727870553731918,0.2334471940994262,0.1600841581821441,0.2271137982606887,0.2176786512136459,0.1667075604200363,0.0804545059800148,0.1029928401112556,0.285968542098999,0.1155878007411956,0.1182533726096153,0.1277209371328354,0.1089933663606643,0.1052457690238952,0.0659273117780685,0.0511508956551551,0.040169134736061,0.0993792787194252,0.1032321900129318,0.0888219773769378,0.0801479667425155,0.0052390308119356,0.0076611647382378,0.0042449971660971,0.0154962725937366,0.0112246945500373,0.0950971096754074,0.091585636138916,0.1147166341543197,0.08391123265028,0.1514683216810226,0.108818344771862,0.0846286714076995,0.0493273548781871,0.0540109388530254,0.1617647111415863,0.059377945959568,0.0611439831554889,0.0833333358168602,0.0527272708714008,0.0734292194247245,0.0535714291036129
SGSM3,0.029360044747591,0.0264627300202846,0.0806598737835884,0.0793781802058219,0.0784151256084442,0.0409338176250457,0.0837100073695182,0.0869096219539642,0.0666068419814109,0.1180063113570213,0.1202725246548652,0.4347813427448272,0.4703994989395141,0.4148922562599182,0.306576132774353,0.2514480054378509,0.4632018506526947,0.119237832725048,0.1158448010683059,0.0817514210939407,0.0,0.1206671372056007,0.1691871881484985,0.1478829830884933,0.3149941265583038,0.1321926712989807,0.0595375336706638,0.013427110388875,0.0126849897205829,0.0455409176647663,0.047383464872837,0.0447873547673225,0.0271270032972097,0.0248853955417871,0.0246652141213417,0.0159187391400337,0.0429580211639404,0.0424266718327999,0.1827332973480224,0.2341769933700561,0.1969835460186004,0.1581137329339981,0.1839258074760437,0.2144620865583419,0.0742659792304039,0.0716573596000671,0.0451230630278587,0.0,0.0688030123710632,0.0887573957443237,0.0833333358168602,0.1490909159183502,0.0953822880983352,0.0535714291036129
SGTA,0.0508934780955314,0.0761625543236732,0.1317097097635269,0.147063598036766,0.1229742988944053,0.0743321627378463,0.0262049417942762,0.0575928203761577,0.0420776903629303,0.0740877911448478,0.062199018895626,0.0679874718189239,0.094764195382595,0.0257580187171697,0.0585479699075222,0.0284232348203659,0.0851351767778396,0.3016912341117859,0.3266061842441559,0.2889822721481323,0.3530473411083221,0.2429703772068023,0.3091084659099579,0.1184715926647186,0.2364094704389572,0.28953617811203,0.3594658076763153,0.0249360613524913,0.0332980975508689,0.0748036503791809,0.0901495143771171,0.0681219398975372,0.0480887778103351,0.0078585464507341,0.0158829018473625,0.0100060645490884,0.0264809727668762,0.0221153199672698,0.0313832312822341,0.0539544336497783,0.0123400362208485,0.0301664359867572,0.0216383300721645,0.0437389761209487,0.1623488813638687,0.186785027384758,0.1472196877002716,0.2205882370471954,0.1281809657812118,0.1617356985807418,0.0833333358168602,0.1163636371493339,0.192278578877449,0.2357142865657806
SGTB,0.0738941133022308,0.0532065853476524,0.1329351067543029,0.1047538444399833,0.1710523664951324,0.0727949813008308,0.0223587956279516,0.0320830456912517,0.0128078823909163,0.035550944507122,0.044018305838108,0.0134086459875106,0.0091537935659289,0.0616104714572429,0.0429406315088272,0.1113798096776008,0.0177744477987289,0.1190056949853897,0.1330995261669159,0.1313013136386871,0.1014161333441734,0.1372591406106948,0.05319469794631,0.0,0.2598309218883514,0.0428051091730594,0.0282590109854936,0.033887468278408,0.0248414371162652,0.0741702541708946,0.0628847852349281,0.0888219773769378,0.0456226877868175,0.0072036674246191,0.0093428837135434,0.0030321406666189,0.0131424088031053,0.0164361596107482,0.0061582187190651,0.0050900410860776,0.0315356478095054,0.0211511794477701,0.0819165408611297,0.0093474425375461,0.0639032796025276,0.079527772963047,0.0679124891757965,0.073529414832592,0.0706880316138267,0.0236686393618583,0.0,0.1127272695302963,0.0317940935492515,0.0285714287310838
SH2B2,0.0653522163629531,0.104429967701435,0.0444295182824134,0.0282170344144105,0.0405314117670059,0.2034090906381607,0.0341079123318195,0.0210116505622863,0.0217422004789114,0.0383642986416816,0.0320227704942226,0.0280136447399854,0.0641674771904945,0.0406805947422981,0.0944409966468811,0.1371473520994186,0.0316544026136398,0.0152962207794189,0.0104189785197377,0.0064738234505057,0.0,0.0257078316062688,0.0931091979146003,0.0,0.0584078840911388,0.0075106243602931,0.0262474417686462,0.0345268547534942,0.0443974621593952,0.0267291609197855,0.0182497799396514,0.0237109530717134,0.1134402006864547,0.0104780616238713,0.0059171598404645,0.0051546390168368,0.0135347191244363,0.0106233712285757,0.0120795834809541,0.0341559313237667,0.0214808043092489,0.0527045764029026,0.1066460609436035,0.0149911819025874,0.0086355786770582,0.0067722154781222,0.0045578852295875,0.0,0.0179076343774795,0.0414201170206069,0.0,0.0309090912342071,0.0060560181736946,0.0178571436554193
SH2B3,0.2871008217334747,0.2390657514333725,0.2330199778079986,0.6123613119125366,0.1912742853164672,0.2904798984527588,0.1429217457771301,0.0342851877212524,0.0812808647751808,0.1024024114012718,0.0846504941582679,0.2968060672283172,0.3956320881843567,0.2493066936731338,0.4223630726337433,0.4314202070236206,0.3678012490272522,0.2193367630243301,0.1764554381370544,0.3498287498950958,0.2898021936416626,0.1285430938005447,0.2481397092342376,0.0,0.2356620877981186,0.3570739328861236,0.5425223708152771,0.1355498731136322,0.1083509549498558,0.1330757588148117,0.3292656242847442,0.1042529195547103,0.17139333486557,0.0419122464954853,0.0095920274034142,0.0191024858504533,0.0378579832613468,0.0277276672422885,0.1223353892564773,0.2007582336664199,0.1202010959386825,0.2045769691467285,0.2797527015209198,0.1656084656715393,0.1295336782932281,0.1159513145685195,0.173883318901062,0.2352941185235977,0.0754005685448646,0.1222879663109779,0.0,0.1109090894460678,0.2293716818094253,0.3285714387893677
